date,GP_PO,sku,from_facility,to_facility,warehouse,quantity,received_quantity,Intransit_quantity,brand
2026-07-21,OGRMH2627/0052,COR-B07TPM5NYC,OPP_RSG_MH,ISK3,To Amazon FBA,-36,0.0,36.0,Cortina
2026-07-21,OGRMH2627/0052,COR-B0BLDV1F6J,OPP_RSG_MH,ISK3,To Amazon FBA,-36,0.0,36.0,Cortina
2026-07-21,OGRMH2627/0052,COR-B0BPCWPM29,OPP_RSG_MH,ISK3,To Amazon FBA,-36,0.0,36.0,Cortina
2026-07-21,OGRMH2627/0052,COR-B0BPCX9WRM,OPP_RSG_MH,ISK3,To Amazon FBA,-30,0.0,30.0,Cortina
2026-07-21,OGRMH2627/0052,COR-B0BPDL2D5R,OPP_RSG_MH,ISK3,To Amazon FBA,-45,0.0,45.0,Cortina
2026-07-21,OGRMH2627/0052,COR-B0DP2X1GQF,OPP_RSG_MH,ISK3,To Amazon FBA,-32,0.0,32.0,Cortina
2026-07-21,OGRMH2627/0052,COR-B0DP2XZD1H,OPP_RSG_MH,ISK3,To Amazon FBA,-24,0.0,24.0,Cortina
2026-07-21,OGRMH2627/0052,COR-B0DP2Y9N1L,OPP_RSG_MH,ISK3,To Amazon FBA,-16,0.0,16.0,Cortina
2026-07-21,OGRMH2627/0052,COR-B0DP2YW4CS,OPP_RSG_MH,ISK3,To Amazon FBA,-24,0.0,24.0,Cortina
2026-07-21,OGRMH2627/0052,COR-B0DP2ZDDV8,OPP_RSG_MH,ISK3,To Amazon FBA,-10,0.0,10.0,Cortina
2026-07-21,OGRMH2627/0052,COR-B0DP2ZSDD2,OPP_RSG_MH,ISK3,To Amazon FBA,-32,0.0,32.0,Cortina
2026-08-03,OGRMH2627/0056,GT205-BLACK,OPP_RSG_MH,OPP_EKT_KA,WareIQ,-2,0.0,2.0,GTPlayer
2026-08-03,OGRMH2627/0056,GT800A-BLUE,OPP_RSG_MH,OPP_EKT_KA,WareIQ,-18,0.0,18.0,GTPlayer
2026-08-03,OGRMH2627/0056,GT800A-PINK,OPP_RSG_MH,OPP_EKT_KA,WareIQ,-5,0.0,5.0,GTPlayer
2026-08-03,OGRMH2627/0056,GT800A-RED,OPP_RSG_MH,OPP_EKT_KA,WareIQ,-29,0.0,29.0,GTPlayer
2026-08-03,OGRMH2627/0056,GT800A-WHITE,OPP_RSG_MH,OPP_EKT_KA,WareIQ,-7,0.0,7.0,GTPlayer
2026-08-03,OGRMH2627/0056,GT829-GREEN,OPP_RSG_MH,OPP_EKT_KA,WareIQ,-1,0.0,1.0,GTPlayer
